url,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,paliva,nox,co,voc,tzl,so2,ostatni,amoniak,co2
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200432_CZ.html,"LB MINERALS, s.r.o. - Skalná - Vonšov",081200,18,351 34 Skalná,"50° 9´ 21.237"" sš 12° 22´ 43.400"" vd",27237702,,,"0,668","0,041",n/a,"0,086",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200442_CZ.html,"LB MINERALS, s.r.o. - Velký Luh",081200,101,351 34 Velký Luh,"50° 12´ 26.397"" sš 12° 21´ 56.214"" vd",27237826,,,"0,094","0,165",n/a,"0,020",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410270502_CZ.html,"LB MINERALS, s.r.o., VJ Chebsko, lom Nova Ves 1, 2",081200,,351 34 Křižovatka,"50° 10´ 45.007"" sš 12° 24´ 27.001"" vd",3814131,,,n/a,n/a,n/a,"0,021",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410270522_CZ.html,"LB MINERALS, s.r.o., VJ Chebsko, lom Vackov",081200,Tovární 270,351 34 Skalná,"50° 10´ 17.020"" sš 12° 22´ 11.608"" vd",3814131,,,n/a,n/a,n/a,"0,004",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410270532_CZ.html,"LB MINERALS, s.r.o., VJ Chebsko, lom Velký Luh",081200,Tovární 270,351 34 Skalná,"50° 10´ 17.020"" sš 12° 22´ 11.608"" vd",3814131,,,n/a,n/a,n/a,"0,005",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410270512_CZ.html,"LB MINERALS, s.r.o., VJ Chodsko, lom Suchá",081200,,351 34 Suchá u Skalné,"50° 10´ 7.997"" sš 12° 23´ 55.999"" vd",3814131,,,n/a,n/a,n/a,"0,000",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410502522_CZ.html,Lesy České republiky s.p. - Dřevosklad Stará Voda,022000,111,353 01 Stará Voda,"49° 59´ 37.203"" sš 12° 36´ 56.512"" vd",11849550,"0,6",dřevní biomasa,"0,089","0,416",n/a,"0,053","0,015",n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/691580601_CZ.html,Ludmila Sýkorová - čistírna oděvů,960100,Bezejmenná 698/12,353 01 Mariánské Lázně,"49° 57´ 32.481"" sš 12° 41´ 56.295"" vd",25502981,,,n/a,n/a,n/a,n/a,n/a,"0,006200",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410270092_CZ.html,"LUKAS CZ spol. s r.o. - odmašťování, adheze, barvení",239100,Tovární 478,351 34 Skalná,"50° 10´ 11.115"" sš 12° 22´ 7.852"" vd",3816044,,,n/a,n/a,n/a,"0,015",n/a,"0,018000",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/638078051_CZ.html,Mgr. Milada Kornigova,220000,464,351 32 Hazlov,"50° 9´ 47.068"" sš 12° 17´ 7.974"" vd",28081323,,,n/a,n/a,"0,049",n/a,n/a,n/a,n/a,n/a
