zdroj_id,nazev,mnozstvi
730100013,oxidy dusíku,0.003
730100013,oxid uhelnatý,0.0
310063212,tuhé znečišťující látky,0.001
310063212,oxid siřičitý,0.0
310063212,oxidy dusíku,0.043
310063212,oxid uhelnatý,0.0
310099402,tuhé znečišťující látky,0.001
310099402,oxid siřičitý,0.0
310099402,oxidy dusíku,0.137
310099402,oxid uhelnatý,0.0
731230073,tuhé znečišťující látky,0.001
731230073,oxid siřičitý,0.0
731230073,oxidy dusíku,0.005
731230073,oxid uhelnatý,0.0
732580033,tuhé znečišťující látky,0.001
732580033,oxid siřičitý,0.0
732580033,oxidy dusíku,0.004
732580033,oxid uhelnatý,0.0
310097342,tuhé znečišťující látky,0.136
310097342,oxid siřičitý,3.123
310097342,oxidy dusíku,3.866
310097342,oxid uhelnatý,1.383
732251011,tuhé znečišťující látky,0.014
732251011,oxidy dusíku,0.089
732251011,těkavé organické látky (VOC),2.915
732251011,chrom šestimocný,6e-06
732251011,"nikl a jeho sloučeniny, vyjádřené jako Ni",1.1e-05
732251011,"zinek a jeho sloučeniny, vyjádřené jako Zn",0.0001334
732251011,kyanidy vyjádřené jako CN,5.1e-05
732251011,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.0032
731330023,oxidy dusíku,0.631
731330023,oxid uhelnatý,0.0
728160611,tuhé znečišťující látky,0.0
728160611,oxidy dusíku,1.432
728160611,oxid uhelnatý,0.066
119806682,těkavé organické látky (VOC),0.721
310000142,tuhé znečišťující látky,0.44
728220413,těkavé organické látky (VOC),0.057
731430083,tuhé znečišťující látky,0.002
731430083,těkavé organické látky (VOC),1.014
731430083,formaldehyd,0.000188
727750403,těkavé organické látky (VOC),1.72
731438251,oxid siřičitý,1.256
731438251,oxidy dusíku,0.514
731438251,oxid uhelnatý,0.001
731438251,organické látky vyjádřené jako TOC,1.7
731438251,těkavé organické látky (VOC),10.358
731438251,chrom (bez šestimocného chromu),0.0
731438251,"kadmium a jeho sloučeniny, vyjádřené jako Cd",0.001
731438251,"nikl a jeho sloučeniny, vyjádřené jako Ni",0.0
731438251,Kyselina sirova,0.005
731438251,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.055
731438251,kyanovodík,0.001
731438251,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.165
730950231,těkavé organické látky (VOC),0.236
310065822,tuhé znečišťující látky,0.0
310065822,oxidy dusíku,1.076
310065822,oxid uhelnatý,0.946
310065822,organické látky vyjádřené jako TOC,0.051
310065822,těkavé organické látky (VOC),1.409
738620103,oxidy dusíku,0.022
738620103,oxid uhelnatý,0.0
729710061,oxidy dusíku,5.58
729710061,oxid uhelnatý,0.325
729710061,těkavé organické látky (VOC),3.575
729710061,amoniak,0.002
729710061,benzen,0.0
310027602,oxidy dusíku,0.276
310027602,oxid uhelnatý,0.067
310091522,těkavé organické látky (VOC),0.618
731280043,oxidy dusíku,0.015
731280043,oxid uhelnatý,0.001
731280043,těkavé organické látky (VOC),3.649
643770353,těkavé organické látky (VOC),0.767
310092852,oxidy dusíku,0.031
732050053,tuhé znečišťující látky,0.025
732050053,těkavé organické látky (VOC),0.541
732450901,těkavé organické látky (VOC),0.175
310060212,oxidy dusíku,0.14
310060212,oxid uhelnatý,0.003
310060222,oxidy dusíku,0.246
310060222,oxid uhelnatý,0.036
728830641,těkavé organické látky (VOC),0.15
727070261,těkavé organické látky (VOC),0.216
310069122,organické látky vyjádřené jako TOC,0.535
310069122,těkavé organické látky (VOC),0.352
728220403,oxidy dusíku,0.194
728220403,oxid uhelnatý,0.001
728220403,těkavé organické látky (VOC),1.922
755540503,těkavé organické látky (VOC),2.097
755540513,oxidy dusíku,0.136
755540513,oxid uhelnatý,0.006
310011802,oxidy dusíku,0.104
310011802,oxid uhelnatý,0.004
310010992,oxidy dusíku,0.291
310010992,oxid uhelnatý,0.061
310070952,tuhé znečišťující látky,0.048
310070952,organické látky vyjádřené jako TOC,1.079
310070952,těkavé organické látky (VOC),3.043
310070952,"zinek a jeho sloučeniny, vyjádřené jako Zn",0.0
310095312,těkavé organické látky (VOC),0.988
730100221,tuhé znečišťující látky,0.032
730100221,oxidy dusíku,0.585
730100221,oxid uhelnatý,0.126
730100593,tuhé znečišťující látky,2.439
728610831,oxidy dusíku,0.024
728610831,oxid uhelnatý,0.0
310052982,oxidy dusíku,0.44
310052982,oxid uhelnatý,0.002
727070281,těkavé organické látky (VOC),0.196
727070913,oxidy dusíku,0.41
727070913,oxid uhelnatý,0.015
727070101,oxidy dusíku,0.328
727070101,oxid uhelnatý,0.069
119813422,oxidy dusíku,0.336
119813422,oxid uhelnatý,0.033
728950471,oxidy dusíku,1.25
728950471,oxid uhelnatý,0.358
728950471,těkavé organické látky (VOC),0.0
727758591,těkavé organické látky (VOC),0.297
310020772,tuhé znečišťující látky,0.038
310020772,oxid siřičitý,1.51
310020772,oxidy dusíku,0.384
310020772,oxid uhelnatý,0.164
729580471,oxidy dusíku,0.028
729580471,oxid uhelnatý,0.007
729580471,těkavé organické látky (VOC),1.137
310097262,oxidy dusíku,0.001
310097262,oxid uhelnatý,0.003
310097262,organické látky vyjádřené jako TOC,0.324
310097262,těkavé organické látky (VOC),0.144
773420073,těkavé organické látky (VOC),0.754
728169111,oxidy dusíku,0.083
728169111,oxid uhelnatý,0.004
729710223,oxidy dusíku,0.84
729710223,oxid uhelnatý,0.98
728640053,oxidy dusíku,0.92
728640053,oxid uhelnatý,1.5
310063702,tuhé znečišťující látky,0.0
310063702,oxid siřičitý,0.0
310063702,oxidy dusíku,0.034
310063702,oxid uhelnatý,0.008
310063702,organické látky vyjádřené jako TOC,0.001
119808432,těkavé organické látky (VOC),1.733
793260033,těkavé organické látky (VOC),0.013
730950363,oxidy dusíku,0.102
730950363,oxid uhelnatý,0.0
731280721,oxidy dusíku,0.468
731280721,oxid uhelnatý,0.011
731220043,tuhé znečišťující látky,0.058
731220043,oxid siřičitý,0.08
731220043,oxidy dusíku,0.697
731220043,oxid uhelnatý,2.188
731220043,organické látky vyjádřené jako TOC,0.0
728230023,těkavé organické látky (VOC),0.176
729058901,oxidy dusíku,3.289
729058901,oxid uhelnatý,0.067
727410563,těkavé organické látky (VOC),0.243
728430641,oxidy dusíku,0.839
728430641,oxid uhelnatý,0.007
601528861,tuhé znečišťující látky,0.13
601528861,oxid siřičitý,0.0
601528861,oxidy dusíku,0.0
601528861,oxid uhelnatý,0.0
