id,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
320501522,"EUROVIA Kamenolomy, a.s. - kamenolom Svrčovec, Dolany",081200,6,339 01 Dolany,"49° 25´ 24.174"" sš 13° 15´ 11.920"" vd",2872676,,0,0,0,0,6.0,0,0,0,
664390023,EVK Kašperské Hory s.r.o.,432200,Besední 387,341 92 Kašperské Hory,"49° 8´ 37.181"" sš 13° 33´ 31.889"" vd",6944141,1.1,0,0,0,0,0,0,0,0,"topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
664390013,EVK Kašperské Hory s.r.o. - centrální kotelna,432200,Smetanova 156,341 92 Kašperské Hory,"49° 8´ 42.482"" sš 13° 32´ 42.460"" vd",6942091,4.5,3.318,1.083,5.048,0,0.242,0,0,0,dřevní biomasa
647280033,"GALASPORT, s.r.o.",323000,82,342 01 Hrádek,"49° 15´ 52.309"" sš 13° 31´ 6.000"" vd",26763516,,0.001,0,0.0,0,0,0,0,0.028,
700670013,"Granit Lipnice, s.r.o. - lom Nehodiv",081100,50,341 01 Nehodiv,"49° 24´ 34.077"" sš 13° 33´ 7.341"" vd",26850095,,0,0,0,0,0.087,0,0,0,
320570482,Greiner aerospace CZ spol. s r.o.,303000,Komenského 895,340 22 Nýrsko,"49° 17´ 36.981"" sš 13° 7´ 57.981"" vd",27958876,,0,0,0,0,0,0,0,0.63,
708450073,"Greiner PURtec CZ, Na Cikánce",222900,Husova,340 22 Nýrsko,"49° 17´ 37.928"" sš 13° 8´ 36.714"" vd",,,0,0,0,0,0,0,0,0,
320502282,"Greiner PURtec CZ spol. s r.o. - Komenského, Nýrsko",222900,Klatovská 627,340 22 Nýrsko,"49° 17´ 58.802"" sš 13° 9´ 8.005"" vd",6972373,1.4,0.094,0.001,0.023,0,0.001,0,0,0.005,zemní plyn
650630013,Haas Fertigbau Chanovice - výroba dřevostaveb,162300,102,341 01 Chanovice,"49° 24´ 27.567"" sš 13° 43´ 11.122"" vd",6932193,,0,0,0,0,0,0,0,0,
320370092,HAPON spol. s r.o. - Horažďovice,289200,Strakonická 1058,341 01 Horažďovice,"49° 19´ 12.232"" sš 13° 42´ 33.525"" vd",2893428,0.5,0.011,0,0.0,0,0,0,0,0,zemní plyn
