zdroj_id,nazev,mnozstvi
738620091,"thalium a jeho sloučeniny, vyjádřené jako Tl",0.007377
738620091,"vanad a jeho sloučeniny, vyjádřené jako V",0.002049
738620091,polychlorované dibenzodioxiny a dibenzofurany,2.84e-08
738620091,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.0
738620091,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.299
310097982,tuhé znečišťující látky,0.388
310097992,tuhé znečišťující látky,0.072
727071793,těkavé organické látky (VOC),0.004
920770263,těkavé organické látky (VOC),0.004
729580253,těkavé organické látky (VOC),0.004
319900842,těkavé organické látky (VOC),0.652
319900362,těkavé organické látky (VOC),0.422
732050411,tuhé znečišťující látky,0.146
732050411,těkavé organické látky (VOC),0.826
310065712,těkavé organické látky (VOC),0.305
728220101,těkavé organické látky (VOC),0.86
731430741,těkavé organické látky (VOC),0.546
729700251,těkavé organické látky (VOC),0.728
732250871,těkavé organické látky (VOC),0.201
732450371,tuhé znečišťující látky,0.312
732450371,oxidy dusíku,0.027
732450371,oxid uhelnatý,0.018
732450371,těkavé organické látky (VOC),8.864
731940301,tuhé znečišťující látky,0.01
731940301,oxidy dusíku,0.119
731940301,oxid uhelnatý,0.005
731940301,organické látky vyjádřené jako TOC,0.14
731940301,těkavé organické látky (VOC),1.281
731640791,tuhé znečišťující látky,0.002
731640791,oxidy dusíku,0.039
731640791,organické látky vyjádřené jako TOC,0.031
731640791,těkavé organické látky (VOC),0.012
731230063,tuhé znečišťující látky,1.388
310067802,oxidy dusíku,0.033
310067802,oxid uhelnatý,0.001
310011892,tuhé znečišťující látky,0.001
310011892,oxid siřičitý,0.001
310011892,oxidy dusíku,0.008
310011892,oxid uhelnatý,0.001
310011892,organické látky vyjádřené jako TOC,0.003
731520023,tuhé znečišťující látky,0.001
731520023,oxid siřičitý,0.001
731520023,oxidy dusíku,0.04
731520023,oxid uhelnatý,0.001
731520023,oxid uhličitý,72.465
728310591,tuhé znečišťující látky,0.016
728310591,oxid siřičitý,0.0
728310591,oxidy dusíku,2.219
728310591,oxid uhelnatý,0.792
728768841,oxidy dusíku,2.581
728768841,oxid uhelnatý,0.867
728768841,organické látky vyjádřené jako TOC,0.758
728768841,těkavé organické látky (VOC),1.883
729580123,oxidy dusíku,0.946
729580123,oxid uhelnatý,0.02
732318381,oxidy dusíku,0.03
732318381,oxid uhelnatý,0.016
728951001,tuhé znečišťující látky,0.021
728951001,oxid siřičitý,0.046
728951001,oxidy dusíku,7.827
728951001,oxid uhelnatý,0.317
728951001,organické látky vyjádřené jako TOC,0.038
728951001,"antimon a jeho sloučeniny, vyjádřené jako Sb",5.5469e-05
728951001,arsen,5.3438e-05
728951001,chrom (bez šestimocného chromu),2.8e-05
728951001,"kadmium a jeho sloučeniny, vyjádřené jako Cd",5.536e-06
728951001,"kobalt a jeho sloučeniny, vyjádřené jako Co",1.1127e-05
728951001,"mangan a jeho sloučeniny, vyjádřené jako Mn",1.6212e-05
728951001,"měď a její sloučeniny, vyjádřené jako Cu",4.1365e-05
728951001,"nikl a jeho sloučeniny, vyjádřené jako Ni",5.5469e-05
728951001,"olovo a jeho sloučeniny, vyjádřené jako Pb",5.5084e-05
728951001,"rtuť její sloučeniny, vyjádřené jako Hg",2.8264e-05
728951001,"thalium a jeho sloučeniny, vyjádřené jako Tl",5.5469e-05
728951001,"vanad a jeho sloučeniny, vyjádřené jako V",5.5469e-05
728951001,polychlorované dibenzodioxiny a dibenzofurany,3.2e-11
728951001,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.00073
728951001,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.011846
310095062,methan,15.8
643770043,těkavé organické látky (VOC),0.259
310067402,tuhé znečišťující látky,0.0
310067402,organické látky vyjádřené jako TOC,0.626
