id,nazev,nace,nuts3,ulice_cp,psc_obec,adm,x,y,lat,lon,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
119808072,"CEMEX Czech Republic, s.r.o. - betonárna Horní Počernice",236300,CZ010,Lukavecká 1732,193 00 Praha,22446664,-728474.6700000018,-1041432.3599999994,50.11894950181993,14.616824192495027,,0,0,0,0,0.513,0,0,0,
119808082,"CEMEX Czech Republic, s.r.o. - betonárna Libuš",236300,CZ010,Dobronická,146 00 Praha,,,,,,0.4,0.0,0,0.0,0,0.0,0,0,0,
119808062,"CEMEX Czech Republic, s.r.o. - betonárna Stodůlky",236300,CZ010,K Hájům 946/10,155 00 Praha,22118195,-750168.870000001,-1045282.7899999991,50.058185303551035,14.323755962388805,,0,0,0,0,0.836,0,0,0,
310069342,"CEMEX Malešice s.r.o. - Praha, Průmyslová",236300,CZ010,Průmyslová 566/5,108 00 Praha,22591508,-734640.6700000018,-1044526.629999999,50.08393704759974,14.53722045590572,0.8,0.092,0,0.024,0,0.023,0,0,0.005,"propan, butan a jejich směsi"
793260133,CENTRAL GROUP - Kotelna Ringhofferova,682020,CZ010,Ringhofferova 115/1,155 21 Praha,22736468,-752370.5,-1045338.3000000007,50.05496282593,14.293409229645249,53.0,0.283,0,0.007,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310098022,"CeWe Color, a.s. - Praha 4, Kloknerova",742000,CZ010,Kloknerova 2278/24,148 00 Praha,25245571,-738834.2899999991,-1049354.129999999,50.035835484890214,14.488297337014645,0.5,0.005,0,0.006,0,0,0.054,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310097312,"CGI Metropole, s.r.o. - Praha, Metropole Zličín",682020,CZ010,Řevnická 121/1,155 21 Praha,25671944,-752719.1799999997,-1045361.6700000018,50.05432191886552,14.288631593197795,8.9,0.84,0,0.207,0,0,0,0,0,nafta;zemní plyn (průměrná výhřevnost 34330 kJ/m3)
728160243,CITY EMPIRIA a.s.,682020,CZ010,Na strži 1702/65,140 00 Praha,25951394,-742078.9200000018,-1047295.2800000012,50.05021508805237,14.439514071104545,6.7,0.339,0,0.02,0,0.0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
731940253,CIVOP s.r.o. - RFE-RL,749010,CZ010,Vinohradská 3333/159a,100 00 Praha,27643379,-738887.6499999985,-1044533.129999999,50.078717270159665,14.478435687683026,5.0,0,0,0,0,0,0,0,0,nafta
310067412,"CNI Tisk servis, spol.s r.o.",467500,CZ010,K Juliáně 150,164 00 Praha,25049674,-750773.0300000012,-1038251.0199999996,50.1200579520751,14.301855738915949,,0,0,0,0,0,0,0,0,
731220481,"Coca-Cola HBC Česká republika, s.r.o.",110700,CZ010,Českobrodská 1329,198 00 Praha,22729241,-733321.1600000001,-1044049.8399999999,50.08978265505769,14.554594362461621,10.7,0.002,0,0.002,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
319900992,COLOR BASIC s.r.o.,452000,CZ010,Ke Xaverovu 2516/12,193 00 Praha,25951301,-728848.3399999999,-1043315.5300000012,50.101720552299604,14.615168229829118,,0,0,0,0,0,1.342,0,0,
728160621,"Corinthia Panorama, s.r.o. - hotel Corinthia Panorama, Praha",551010,CZ010,Milevská 1695/7,140 00 Praha,21874433,-742187.2300000004,-1047409.4499999993,50.04906557831912,14.438232714645643,9.7,0.818,0.003,0.136,0,0.129,0,0,0.027,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
